kills,deaths,assists,dragons,opp_dragons,elders,opp_elders,heralds,opp_heralds,barons,opp_barons,towers,opp_towers,inhibitors,opp_inhibitors,gold_diff,side
20,4,45,3,1,0,0,2,0,1,0,8,0,1,0,15.527,0
4,20,10,1,3,0,0,0,2,0,1,0,8,0,1,-15.527,1
17,4,38,2,3,0,0,1,1,1,0,10,3,2,0,8.851,0
4,17,7,3,2,0,0,1,1,0,1,3,10,0,2,-8.851,1
18,12,46,2,3,0,0,0,1,2,0,9,3,2,0,9.511,0
12,18,33,3,2,0,0,1,0,0,2,3,9,0,2,-9.511,1
24,6,65,3,1,0,0,0,2,1,0,10,3,1,0,12.476,0
6,24,13,1,3,0,0,2,0,0,1,3,10,0,1,-12.476,1
17,11,29,5,1,1,1,2,0,0,2,4,9,0,1,-4.042,0
11,17,19,1,5,1,1,0,2,2,0,9,4,1,0,4.042,1
6,15,16,1,3,0,0,0,2,0,2,2,11,0,3,-10.601,0
15,6,29,3,1,0,0,2,0,2,0,11,2,3,0,10.601,1
15,11,36,4,2,0,1,2,0,0,2,6,8,0,1,-4.051,0
11,15,21,2,4,1,0,0,2,2,0,8,6,1,0,4.051,1
11,5,30,3,1,0,0,1,1,0,0,9,1,1,0,9.357,0
5,11,6,1,3,0,0,1,1,0,0,1,9,0,1,-9.357,1
3,13,10,1,3,0,0,1,1,0,1,3,7,0,1,-7.518,0
13,3,36,3,1,0,0,1,1,1,0,7,3,1,0,7.518,1
15,6,39,2,2,0,0,1,1,1,0,8,2,1,0,11.811,0
4,15,10,2,2,0,0,1,1,0,1,2,8,0,1,-11.811,1
16,2,41,3,0,0,0,1,1,1,0,11,1,2,0,13.541,0
1,16,0,0,3,0,0,1,1,0,1,1,11,0,2,-13.541,1
18,3,42,4,0,0,0,2,0,1,0,9,0,1,0,16.302,0
3,18,8,0,4,0,0,0,2,0,1,0,9,0,1,-16.302,1
11,1,28,3,1,0,0,2,0,1,0,10,2,2,0,12.536,0
1,11,2,1,3,0,0,0,2,0,1,2,10,0,2,-12.536,1
19,4,42,4,1,0,0,2,0,1,0,9,2,2,0,14.483,0
4,19,4,1,4,0,0,0,2,0,1,2,9,0,2,-14.483,1
8,24,21,0,4,0,0,0,2,0,2,2,10,0,2,-15.812,0
24,9,57,4,0,0,0,2,0,2,0,10,2,2,0,15.812,1
2,16,6,2,4,0,0,1,1,0,2,6,8,1,1,-9.795,0
16,2,47,4,2,0,0,1,1,2,0,8,6,1,1,9.795,1
8,6,25,3,1,0,0,2,0,0,0,7,2,1,0,2.906,0
6,8,13,1,3,0,0,0,2,0,0,2,7,0,1,-2.906,1
14,3,35,4,2,0,0,2,0,2,0,10,2,1,0,11.854,0
3,14,9,2,4,0,0,0,2,0,2,2,10,0,1,-11.854,1
11,18,17,1,3,0,0,0,2,0,2,0,11,0,3,-14.565,0
18,11,31,3,1,0,0,2,0,2,0,11,0,3,0,14.565,1
10,9,21,3,2,0,0,2,0,2,0,10,1,2,0,11.595,0
9,10,26,2,3,0,0,0,2,0,2,1,10,0,2,-11.595,1
16,24,28,1,4,0,0,0,2,1,1,4,8,0,1,-5.767,0
24,16,53,4,1,0,0,2,0,1,1,8,4,1,0,5.767,1
19,5,56,2,1,0,0,2,0,1,0,9,2,1,0,13.915,0
5,19,10,1,2,0,0,0,2,0,1,2,9,0,1,-13.915,1
16,13,39,0,4,0,0,1,1,0,2,9,6,1,0,1.803,0
13,16,28,4,0,0,0,1,1,2,0,6,9,0,1,-1.803,1
7,11,12,3,3,0,0,1,1,2,1,8,7,2,1,2.141,0
11,7,21,3,3,0,0,1,1,1,2,7,8,1,2,-2.141,1
14,8,31,3,3,0,0,1,1,1,1,10,5,2,0,7.582,0
8,14,19,3,3,0,0,1,1,1,1,5,10,0,2,-7.582,1
4,12,12,3,3,0,0,0,2,1,1,6,8,0,1,-5.441,0
12,4,30,3,3,0,0,2,0,1,1,8,6,1,0,5.441,1
6,13,21,1,3,0,0,1,1,0,0,3,8,0,1,-4.596,0
13,6,34,3,1,0,0,1,1,0,0,8,3,1,0,4.596,1
15,8,32,5,0,1,0,2,0,1,0,10,0,2,0,14.099,0
8,15,17,0,5,0,1,0,2,0,1,0,10,0,2,-14.099,1
12,2,23,3,1,0,0,2,0,1,0,10,1,2,0,13.783,0
2,12,4,1,3,0,0,0,2,0,1,1,10,0,2,-13.783,1
6,14,13,2,4,0,0,2,0,0,1,4,10,0,2,-9.617,0
14,6,37,4,2,0,0,0,2,1,0,10,4,2,0,9.617,1
4,15,6,0,4,0,0,1,1,0,0,2,8,0,1,-9.153,0
15,4,32,4,0,0,0,1,1,0,0,8,2,1,0,9.153,1
22,12,64,2,2,0,0,2,0,1,0,11,3,2,0,11.478,0
12,22,30,2,2,0,0,0,2,0,1,3,11,0,2,-11.478,1
12,21,30,2,3,0,0,1,1,1,1,5,8,0,1,-3.943,0
21,12,57,3,2,0,0,1,1,1,1,8,5,1,0,3.943,1
6,19,12,0,2,0,0,0,2,0,1,0,11,0,3,-17.362,0
19,6,46,2,0,0,0,2,0,1,0,11,0,3,0,17.362,1
12,22,32,2,2,0,0,2,0,1,1,6,9,1,1,-5.577,0
22,12,56,2,2,0,0,0,2,1,1,9,6,1,1,5.577,1
18,11,34,1,6,0,2,0,2,1,1,8,11,2,4,-5.197,0
11,18,30,6,1,2,0,2,0,1,1,11,8,4,2,5.197,1
23,5,48,4,0,0,0,2,0,1,0,9,2,2,0,16.226,0
5,23,6,0,4,0,0,0,2,0,1,2,9,0,2,-16.226,1
8,14,17,0,4,0,0,0,2,0,2,3,9,0,1,-11.996,0
