firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,opp_killsat10,opp_assistsat10,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,opp_killsat15,opp_assistsat15,side
0,1,1,1,1,1,1,7,0,5.84,4.51,10,1,2,1,1,31.76,19.23,10,5,7,1,1,0
1,0,0,0,0,0,0,0,7,-5.84,-4.51,-10,1,1,1,2,-31.76,-19.23,-10,1,1,5,7,1
1,0,0,1,0,1,1,3,3,7.71,-3.19,-21,2,2,0,0,12.87,5.38,-19,3,4,0,0,0
0,1,1,0,1,0,0,3,3,-7.71,3.19,21,0,0,2,2,-12.87,-5.38,19,0,0,3,4,1
0,0,0,1,1,1,1,1,3,-9.1,-1.46,2,2,4,4,9,9.05,6.48,29,2,4,4,9,0
1,1,1,0,0,0,0,3,1,9.1,1.46,-2,4,9,2,4,-9.05,-6.48,-29,4,9,2,4,1
1,1,0,1,1,0,0,1,4,-5.11,-2.52,-9,0,0,0,0,-7.85,-1.07,-13,0,0,0,0,0
0,0,1,0,0,1,1,4,1,5.11,2.52,9,0,0,0,0,7.85,1.07,13,0,0,0,0,1
1,1,1,0,1,1,1,6,2,23.46,10.3,17,3,2,0,0,30.81,17.22,33,8,9,3,4,0
0,0,0,1,0,0,0,2,6,-23.46,-10.3,-17,0,0,3,2,-30.81,-17.22,-33,3,4,8,9,1
1,0,0,0,0,0,0,5,5,16.72,7.02,22,2,3,0,0,-3.89,0.27,23,2,3,2,4,0
0,1,1,1,1,1,1,5,5,-16.72,-7.02,-22,0,0,2,3,3.89,-0.27,-23,2,4,2,3,1
0,0,1,0,1,0,0,4,5,-1.99,8.37,13,0,0,1,2,0.1,6.51,28,1,1,2,3,0
1,1,0,1,0,1,1,5,4,1.99,-8.37,-13,1,2,0,0,-0.1,-6.51,-28,2,3,1,1,1
0,1,0,0,1,1,1,2,2,-8.37,-3.38,8,0,0,2,1,-5.11,-9.88,0,0,0,3,3,0
1,0,1,0,0,0,0,2,2,8.37,3.38,-8,2,1,0,0,5.11,9.88,0,3,3,0,0,1
0,0,1,0,0,1,1,5,6,-14.28,-13.54,-12,0,0,2,3,-14.38,-3.88,-32,1,3,2,3,0
1,1,0,1,1,0,0,6,5,14.28,13.54,12,2,3,0,0,14.38,3.88,32,2,3,1,3,1
1,0,1,1,1,1,1,2,1,2.25,-8.2,-3,1,1,1,3,13.64,-8.22,6,3,3,2,5,0
0,1,0,0,0,0,0,1,2,-2.25,8.2,3,1,3,1,1,-13.64,8.22,-6,2,5,3,3,1
1,1,0,1,1,1,1,6,3,19.56,9.81,22,2,3,1,0,22.57,6.08,26,3,5,1,0,0
0,0,1,0,0,0,0,3,6,-19.56,-9.81,-22,1,0,2,3,-22.57,-6.08,-26,1,0,3,5,1
1,1,1,1,1,1,1,7,0,30.14,15.2,20,5,8,0,0,44.78,15.03,33,6,9,1,1,0
0,0,0,0,0,0,0,0,7,-30.14,-15.2,-20,0,0,5,8,-44.78,-15.03,-33,1,1,6,9,1
1,0,1,1,1,1,1,8,0,17.31,8.8,7,1,2,0,0,41.37,14.87,20,1,2,0,0,0
0,1,0,0,0,0,0,0,8,-17.31,-8.8,-7,0,0,1,2,-41.37,-14.87,-20,0,0,1,2,1
1,0,1,1,1,1,1,6,1,17.23,0.25,8,3,4,2,0,27.76,7.43,13,3,4,2,0,0
0,1,0,0,0,0,0,1,6,-17.23,-0.25,-8,2,0,3,4,-27.76,-7.43,-13,2,0,3,4,1
0,0,0,0,0,0,0,0,7,-23.95,-19.78,-28,0,0,3,9,-39.3,-25.07,-64,0,0,3,9,0
1,1,1,1,1,1,1,7,0,23.95,19.78,28,3,9,0,0,39.3,25.07,64,3,9,0,0,1
0,0,0,0,0,0,1,2,3,-5.67,-3.69,14,0,0,1,2,-27.78,-5.47,18,0,0,3,8,0
1,1,1,1,1,1,0,3,2,5.67,3.69,-14,1,2,0,0,27.78,5.47,-18,3,8,0,0,1
0,0,1,0,1,1,1,3,1,1.06,5.45,17,1,2,1,1,17.34,13.11,46,2,5,1,1,0
1,1,0,0,0,0,0,1,3,-1.06,-5.45,-17,1,1,1,2,-17.34,-13.11,-46,1,1,2,5,1
